device,time_in_ms,time_in_ns,method,graph,nnodes,nedges,problem
Tesla K80,71179,2460320848,SYCL Topology-Driven,rmat22,4194304,67108864,PR
Tesla K80,71063,2344282315,SYCL Topology-Driven,rmat22,4194304,67108864,PR
Tesla K80,71072,2353130453,SYCL Topology-Driven,rmat22,4194304,67108864,PR
Tesla K80,4334,4334737147,Lonestar,rmat22,4194304,67108864,PR
Tesla K80,4336,4336743431,Lonestar,rmat22,4194304,67108864,PR
Tesla K80,4329,4329361972,Lonestar,rmat22,4194304,67108864,PR
GeForce GTX,1021288,3381032257,SYCL Data-Driven,rmat22,4194304,67108864,PR
GeForce GTX,1020021,2114015457,SYCL Data-Driven,rmat22,4194304,67108864,PR
GeForce GTX,1022444,242254677,SYCL Data-Driven,rmat22,4194304,67108864,PR
GeForce GTX,35563,1203745086,SYCL Topology-Driven,rmat22,4194304,67108864,PR
GeForce GTX,35574,1214638684,SYCL Topology-Driven,rmat22,4194304,67108864,PR
GeForce GTX,35571,1211342589,SYCL Topology-Driven,rmat22,4194304,67108864,PR
GeForce GTX,5311,5311187655,Lonestar,rmat22,4194304,67108864,PR
GeForce GTX,6766,6766453578,Lonestar,rmat22,4194304,67108864,PR
GeForce GTX,5221,5221505728,Lonestar,rmat22,4194304,67108864,PR
Tesla K80,162691,3777663590,SYCL Data-Driven,road-USA-CTR,264346,733846,PR
Tesla K80,21586,111600157,SYCL Data-Driven,road-USA-CTR,264346,733846,PR
Tesla K80,20666,3486831421,SYCL Data-Driven,road-USA-CTR,264346,733846,PR
Tesla K80,7763,3468357026,SYCL Topology-Driven,road-USA-CTR,264346,733846,PR
Tesla K80,7679,3384764550,SYCL Topology-Driven,road-USA-CTR,264346,733846,PR
Tesla K80,7676,3381593714,SYCL Topology-Driven,road-USA-CTR,264346,733846,PR
Tesla K80,24,24564079,Lonestar,road-USA-CTR,264346,733846,PR
Tesla K80,25,25258099,Lonestar,road-USA-CTR,264346,733846,PR
Tesla K80,30,30147361,Lonestar,road-USA-CTR,264346,733846,PR
GeForce GTX,18488,1308727130,SYCL Data-Driven,road-USA-CTR,264346,733846,PR
GeForce GTX,18385,1206033099,SYCL Data-Driven,road-USA-CTR,264346,733846,PR
GeForce GTX,18371,1192069773,SYCL Data-Driven,road-USA-CTR,264346,733846,PR
GeForce GTX,9214,624623457,SYCL Topology-Driven,road-USA-CTR,264346,733846,PR
GeForce GTX,7624,3329955045,SYCL Topology-Driven,road-USA-CTR,264346,733846,PR
GeForce GTX,7612,3317655667,SYCL Topology-Driven,road-USA-CTR,264346,733846,PR
GeForce GTX,53,53224347,Lonestar,road-USA-CTR,264346,733846,PR
GeForce GTX,53,53019669,Lonestar,road-USA-CTR,264346,733846,PR
GeForce GTX,50,50567525,Lonestar,road-USA-CTR,264346,733846,PR
Tesla K80,34557,197693301,SYCL Data-Driven,road-USA-W,6262104,15119284,PR
Tesla K80,30315,250713537,SYCL Data-Driven,road-USA-W,6262104,15119284,PR
Tesla K80,32244,2179989506,SYCL Data-Driven,road-USA-W,6262104,15119284,PR
Tesla K80,16605,3720739264,SYCL Topology-Driven,road-USA-W,6262104,15119284,PR
Tesla K80,16511,3626720019,SYCL Topology-Driven,road-USA-W,6262104,15119284,PR
Tesla K80,16539,3654688530,SYCL Topology-Driven,road-USA-W,6262104,15119284,PR
Tesla K80,2502,2502163014,Lonestar,road-USA-W,6262104,15119284,PR
Tesla K80,2474,2474366672,Lonestar,road-USA-W,6262104,15119284,PR
Tesla K80,2469,2469310079,Lonestar,road-USA-W,6262104,15119284,PR
GeForce GTX,22979,1504566906,SYCL Data-Driven,road-USA-W,6262104,15119284,PR
GeForce GTX,21572,98095319,SYCL Data-Driven,road-USA-W,6262104,15119284,PR
GeForce GTX,21492,17424608,SYCL Data-Driven,road-USA-W,6262104,15119284,PR
GeForce GTX,8308,4013657894,SYCL Topology-Driven,road-USA-W,6262104,15119284,PR
GeForce GTX,8305,4010731912,SYCL Topology-Driven,road-USA-W,6262104,15119284,PR
GeForce GTX,8308,4013858869,SYCL Topology-Driven,road-USA-W,6262104,15119284,PR
GeForce GTX,1335,1335725068,Lonestar,road-USA-W,6262104,15119284,PR
GeForce GTX,1453,1453511713,Lonestar,road-USA-W,6262104,15119284,PR
GeForce GTX,1454,1454633735,Lonestar,road-USA-W,6262104,15119284,PR
Tesla K80,111240,3866347735,SYCL Data-Driven,road-USA,23947347,57708624,PR
Tesla K80,95828,1339672719,SYCL Data-Driven,road-USA,23947347,57708624,PR
Tesla K80,95125,636462708,SYCL Data-Driven,road-USA,23947347,57708624,PR
Tesla K80,49646,2401448846,SYCL Topology-Driven,road-USA,23947347,57708624,PR
Tesla K80,46434,3484882717,SYCL Topology-Driven,road-USA,23947347,57708624,PR
Tesla K80,49567,2322709025,SYCL Topology-Driven,road-USA,23947347,57708624,PR
Tesla K80,5820,5820189461,Lonestar,road-USA,23947347,57708624,PR
Tesla K80,5794,5794010227,Lonestar,road-USA,23947347,57708624,PR
Tesla K80,5776,5776153129,Lonestar,road-USA,23947347,57708624,PR
GeForce GTX,46682,3733092960,SYCL Data-Driven,road-USA,23947347,57708624,PR
GeForce GTX,46928,3978827046,SYCL Data-Driven,road-USA,23947347,57708624,PR
GeForce GTX,50254,3009657400,SYCL Data-Driven,road-USA,23947347,57708624,PR
GeForce GTX,16705,3820664226,SYCL Topology-Driven,road-USA,23947347,57708624,PR
GeForce GTX,16702,3817637241,SYCL Topology-Driven,road-USA,23947347,57708624,PR
GeForce GTX,16796,3911846008,SYCL Topology-Driven,road-USA,23947347,57708624,PR
GeForce GTX,5725,5725832369,Lonestar,road-USA,23947347,57708624,PR
GeForce GTX,5745,5745321151,Lonestar,road-USA,23947347,57708624,PR
GeForce GTX,5321,5321301946,Lonestar,road-USA,23947347,57708624,PR
